window_id,start_index,end_index,start_time,end_time,alpha_q,alpha_r,gps_updates,has_gps,mean_nis,position_mae,velocity_mae,heading_mae_deg
0,0,49,0.0,4.9,0.1,30.0,1,1,0.2402522476099222,3.527344914153129,1.5072428259383266,12.092720496413907
1,50,99,4.999999999999998,9.899999999999999,0.1,2.0,1,1,6.19263240735634,3.930935586033341,0.4587847049668825,20.97745848052841
2,100,149,9.99999999999998,14.89999999999998,0.1,1.0,0,0,,6.46195376844409,0.54291136049651,28.588223463917736
3,150,199,14.999999999999964,19.899999999999963,0.1,3.0,1,1,5.252422596770114,1.9088390514126132,0.5526575210779803,10.60575767004035
4,200,249,20.00000000000001,24.900000000000013,0.1,1.0,0,0,,4.978566416949072,1.2701741064116163,23.938434849339643
5,250,299,25.000000000000085,29.900000000000084,0.1,30.0,1,1,1.2616802308592714,19.336818666464303,1.189734682490239,91.17975136299395
6,300,349,30.00000000000016,34.90000000000016,0.1,1.0,0,0,,20.85944013977613,1.1880898477636526,85.51780656124726
7,350,399,35.00000000000023,39.900000000000226,0.1,30.0,1,1,0.3803971439501056,21.09395452964666,0.4930368275029266,89.30563807696387
8,400,449,40.0000000000003,44.9000000000003,0.1,1.0,0,0,,21.260008749255864,1.9347406270359893,85.45472901769308
9,450,499,45.00000000000037,49.90000000000037,0.1,30.0,1,1,0.462870566236128,23.64007149183626,0.6487839687648208,85.68646142791336
10,500,549,50.00000000000044,54.90000000000044,30.0,0.1,1,1,1.29810646237227,14.67881059111574,1.780444554141681,87.54235530023776
11,550,599,55.00000000000051,59.90000000000051,0.1,1.0,0,0,,22.14839214422848,1.7260019680242515,85.2961739593383
12,600,649,60.00000000000058,64.90000000000059,30.0,0.1,1,1,1.7512758901581256,10.415558589080504,2.503898510524919,93.67905881942248
13,650,699,65.00000000000058,69.90000000000059,0.1,1.0,0,0,,21.945958472626582,1.453580460899265,89.71817872306157
14,700,749,70.0000000000003,74.9000000000003,0.1,30.0,1,1,1.5926446006676895,21.93297905412913,1.4125408059496918,87.17431118397553
15,750,799,75.00000000000001,79.90000000000002,0.1,1.0,0,0,,18.08959825992812,0.5551988074455193,103.780375126478
16,800,849,79.99999999999973,84.89999999999974,30.0,0.1,1,1,1.154659640273479,6.464097463432963,2.167576616125512,113.5572599488823
17,850,899,84.99999999999945,89.89999999999945,0.1,1.0,0,0,,17.0977375047819,0.3165572147365129,102.87169969837136
18,900,949,89.99999999999916,94.89999999999917,30.0,0.1,1,1,0.5698183994685097,5.976715563919333,3.282126424933842,97.5438859247258
19,950,999,94.99999999999888,99.89999999999888,0.1,1.0,0,0,,18.31352539498664,0.3991595746011388,102.71204574914287
20,1000,1049,99.9999999999986,104.8999999999986,30.0,0.1,1,1,1.2084828691441194,8.466329540767669,2.563270490015908,116.48262841623514
21,1050,1099,104.99999999999832,109.89999999999833,0.1,1.0,0,0,,20.228030275449168,0.1922929528556231,101.91651767971028
22,1100,1149,109.99999999999802,114.89999999999803,0.1,1.0,0,0,,19.427707766543,1.1900869483938714,101.09226237054004
23,1150,1199,114.99999999999774,119.89999999999775,3.0,20.0,1,1,0.5767929079467256,19.001104429607206,0.1753296540600251,102.28166935740708
24,1200,1249,119.99999999999746,124.89999999999746,0.1,1.0,0,0,,18.32946392032998,1.0950693824239082,101.851536333273
25,1250,1299,124.99999999999716,129.89999999999716,0.1,0.1,1,1,38.15257218244553,6.533929458845123,2.169294071919198,81.24640252527223
26,1300,1349,129.9999999999969,134.8999999999969,0.1,1.0,0,0,,15.815797548378374,1.2150926108088682,103.93746006395776
27,1350,1399,134.99999999999662,139.89999999999662,0.1,30.0,1,1,0.2904119663148687,16.744123735537077,0.6629153977692319,103.42840290466172
28,1400,1449,139.99999999999633,144.89999999999634,0.1,1.0,0,0,,17.553134867851053,0.834256651931212,103.4776867659444
29,1450,1499,144.99999999999605,149.89999999999606,0.1,30.0,1,1,0.297836081749706,16.377497781301678,0.7386226175564963,105.38630493172542
30,1500,1549,149.99999999999577,154.89999999999577,30.0,0.1,1,1,1.0884573955149508,10.905575148439802,1.5368906762839871,106.66151999747925
31,1550,1599,154.99999999999548,159.8999999999955,0.1,1.0,0,0,,17.291029576153036,0.6738179059519753,104.97334477781642
32,1600,1649,159.9999999999952,164.8999999999952,0.1,1.0,0,0,,18.249404831139984,0.9154644104822998,102.00918894394856
33,1650,1699,164.9999999999949,169.89999999999492,0.1,30.0,1,1,0.3333830427847932,17.493125358242867,0.8726987330796925,104.49781529790488
34,1700,1749,169.99999999999463,174.89999999999463,0.1,1.0,0,0,,17.996333983440948,0.7583967527196863,103.07215273997404
35,1750,1799,174.99999999999434,179.89999999999435,0.1,30.0,1,1,0.3241982089107426,16.082954966617628,0.905240248186428,106.24612575939511
36,1800,1849,179.99999999999406,184.89999999999407,30.0,0.1,1,1,0.9385681447295774,10.20359226012018,1.357583256306303,106.73908519710491
37,1850,1899,184.99999999999372,189.89999999999372,0.1,1.0,0,0,,16.5480728026114,1.0706247979512264,106.4971323281904
38,1900,1949,189.9999999999935,194.8999999999935,30.0,0.1,1,1,0.7293445280771211,6.794805545829131,2.044036721740324,108.82661833738294
39,1950,1999,194.9999999999932,199.8999999999932,0.1,1.0,0,0,,15.69306455948294,0.9724583617104408,108.55954092743929
40,2000,2049,199.99999999999287,204.89999999999287,0.1,30.0,1,1,0.4092507420464177,14.151903524228294,0.4550239474543563,101.9397927553122
41,2050,2099,204.99999999999264,209.89999999999264,0.1,1.0,0,0,,14.928428035205313,1.2070976257256434,110.32290159822251
42,2100,2149,209.99999999999235,214.89999999999236,0.1,30.0,1,1,0.3284479161574416,2.335096318075668,0.3255112851174344,12.116347581750354
43,2150,2199,214.99999999999207,219.89999999999208,7.0,30.0,1,1,0.1078366312713997,2.86028841908967,1.3880811803343285,1.184838818839535
44,2200,2249,219.9999999999918,224.8999999999918,0.1,1.0,0,0,,1.1489834592372956,0.8971865186976054,2.6125025058847724
45,2250,2299,224.9999999999915,229.8999999999915,30.0,0.1,1,1,0.0735927830052546,5.7984805856274,1.8979450221344865,90.46169518394072
